ordinal,family,name,prototype,implementation,abi_class,ktf_samsung_confidence,ktf_samsung_selector_kind,ktf_samsung_slot,evidence
1,MC_SRL,MC_srlClose,M_Int32 MC_srlClose(M_Int32 fd),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x14,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:488
2,MC_SRL,MC_srlOpen,"M_Int32 MC_srlOpen(M_Int32 port, M_Byte *param)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x00,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:389
3,MC_SRL,MC_srlWrite,"M_Int32 MC_srlWrite(M_Int32 fd, M_Uint8 *buf, M_Int32 size)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x04,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:423
4,MC_SRL,MC_srlRead,"M_Int32 MC_srlRead(M_Int32 fd, M_Uint8 *buf, M_Int32 size)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x08,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:442
5,MC_SRL,MC_srlSetReadCB,"M_Int32 MC_srlSetReadCB(M_Int32 fd, SRLREADCB cb, void *param)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x0c,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:456
6,MC_SRL,MC_srlSetWriteCB,"M_Int32 MC_srlSetWriteCB(M_Int32 fd, SRLWRITECB cb, void *param)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x10,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:472
7,MC_GRP,MC_grpGetImageProperty,"M_Int32 MC_grpGetImageProperty(MC_GrpImage img, M_Int32 index)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x00,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:699
8,MC_GRP,MC_grpGetImageFrameBuffer,MC_GrpFrameBuffer MC_grpGetImageFrameBuffer(MC_GrpImage img),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x04,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:725
9,MC_GRP,MC_grpGetScreenFrameBuffer,MC_GrpFrameBuffer MC_grpGetScreenFrameBuffer(M_Int32 i),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x08,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:730
10,MC_GRP,MC_grpDestroyOffScreenFrameBuffer,void MC_grpDestroyOffScreenFrameBuffer(MC_GrpFrameBuffer fb),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x0c,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:739
11,MC_GRP,MC_grpCreateOffScreenFrameBuffer,"MC_GrpFrameBuffer MC_grpCreateOffScreenFrameBuffer(M_Int32 w, M_Int32 h)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x10,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:750
12,MC_GRP,MC_grpInitContext,void MC_grpInitContext(MC_GrpContext *pgc),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x14,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:779
13,MC_GRP,MC_grpSetContext,"void MC_grpSetContext(MC_GrpContext *pgc, M_Int32 index, void *pv)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x18,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:786
14,MC_GRP,MC_grpGetContext,"void MC_grpGetContext(MC_GrpContext *pgc, M_Int32 index, void *pv)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x1c,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:832
15,MC_GRP,MC_grpPutPixel,"void MC_grpPutPixel(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x20,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:867
16,MC_GRP,MC_grpDrawLine,"void MC_grpDrawLine(MC_GrpFrameBuffer dst, M_Int32 x1, M_Int32 y1, M_Int32 x2, M_Int32 y2, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x24,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:873
17,MC_GRP,MC_grpDrawRect,"void MC_grpDrawRect(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x28,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:904
18,MC_GRP,MC_grpFillRect,"void MC_grpFillRect(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x2c,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:915
19,MC_GRP,MC_grpCopyFrameBuffer,"void MC_grpCopyFrameBuffer(MC_GrpFrameBuffer dst, M_Int32 dx, M_Int32 dy, M_Int32 w, M_Int32 h, MC_GrpFrameBuffer src, M_Int32 sx, M_Int32 sy, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x30,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:932
20,MC_GRP,MC_grpDrawImage,"void MC_grpDrawImage(MC_GrpFrameBuffer dst, M_Int32 dx, M_Int32 dy, M_Int32 w, M_Int32 h, MC_GrpImage src, M_Int32 sx, M_Int32 sy, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x34,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:993
21,MC_GRP,MC_grpCopyArea,"void MC_grpCopyArea(MC_GrpFrameBuffer dst, M_Int32 dx, M_Int32 dy, M_Int32 w, M_Int32 h, M_Int32 x, M_Int32 y, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x38,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1001
22,MC_GRP,MC_grpDrawArc,"void MC_grpDrawArc(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h, M_Int32 s, M_Int32 e, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x3c,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1006
23,MC_GRP,MC_grpFillArc,"void MC_grpFillArc(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h, M_Int32 s, M_Int32 e, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x40,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1052
24,MC_GRP,MC_grpDrawString,"void MC_grpDrawString(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, const M_Char *str, M_Int32 len, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x44,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1092
25,MC_GRP,MC_grpDrawUnicodeString,"void MC_grpDrawUnicodeString(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, const M_UCode *str, M_Int32 len, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x48,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1113
26,MC_GRP,MC_grpGetRGBPixels,"void MC_grpGetRGBPixels(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h, M_Uint32 *pd, M_Int32 ipl)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x4c,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1132
27,MC_GRP,MC_grpSetRGBPixels,"void MC_grpSetRGBPixels(MC_GrpFrameBuffer dst, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h, const M_Uint32 *psrc, M_Int32 ibpl, MC_GrpContext *pgc)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x50,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1150
28,MC_GRP,MC_grpFlushLcd,"void MC_grpFlushLcd(M_Int32 i, MC_GrpFrameBuffer frm, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x54,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1166
29,MC_GRP,MC_grpGetPixelFromRGB,"M_Int32 MC_grpGetPixelFromRGB(M_Int32 r, M_Int32 g, M_Int32 b)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x58,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1182
30,MC_GRP,MC_grpGetDisplayInfo,"M_Int32 MC_grpGetDisplayInfo(M_Int32 i, MC_GrpDisplayInfo *pi)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x60,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1201
31,MC_GRP,MC_grpRepaint,"void MC_grpRepaint(M_Int32 lcd, M_Int32 x, M_Int32 y, M_Int32 w, M_Int32 h)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x64,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1224
32,MC_GRP,MC_grpGetFont,"M_Int32 MC_grpGetFont(M_Int32 face, M_Int32 size, M_Int32 style)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x68,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1233
33,MC_GRP,MC_grpGetFontHeight,M_Int32 MC_grpGetFontHeight(M_Int32 font),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x6c,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1238
34,MC_GRP,MC_grpGetFontAscent,M_Int32 MC_grpGetFontAscent(M_Int32 font),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x70,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1243
35,MC_GRP,MC_grpGetFontDescent,M_Int32 MC_grpGetFontDescent(M_Int32 font),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x74,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:1249
